"minute","result","X","Y","xG","player","h_a","situation","shotType","home_team","away_team","home_goals","away_goals","date","player_assisted","lastAction","Outcome","zone"
52,"Goal",90.6150032043457,60.1120010375977,0.0127143822610378,"Rodrigo","h","OpenPlay","LeftFoot","Leeds","Manchester United",2,4,"2022-02-20 14:00:00","J̼nior Firpo","Pass","Goal","zone3"
53,"Goal",101.220001602173,32.0960005187989,0.659878849983215,"Raphinha","h","OpenPlay","LeftFoot","Leeds","Manchester United",2,4,"2022-02-20 14:00:00","Daniel James","Pass","Goal","zone1"
60,"SavedShot",91.35,41.0039994812011,0.115848615765572,"Joe Gelhardt","h","OpenPlay","LeftFoot","Leeds","Manchester United",2,4,"2022-02-20 14:00:00","Adam Forshaw","Pass","NoGoal","zone2"
68,"MissedShots",98.2799983978272,35.2920010375977,0.29193115234375,"Joe Gelhardt","h","OpenPlay","OtherBodyPart","Leeds","Manchester United",2,4,"2022-02-20 14:00:00","J̼nior Firpo","Cross","NoGoal","zone1"
73,"SavedShot",89.8799983978272,35.4960005187989,0.0822641104459763,"Mateusz Klich","h","OpenPlay","LeftFoot","Leeds","Manchester United",2,4,"2022-02-20 14:00:00","J̼nior Firpo","Pass","NoGoal","zone2"
75,"BlockedShot",88.9349967956543,41.14,0.0642457753419876,"Joe Gelhardt","h","OpenPlay","LeftFoot","Leeds","Manchester United",2,4,"2022-02-20 14:00:00","Rodrigo","Pass","NoGoal","zone2"
81,"SavedShot",81.6900032043457,24.2760005187989,0.0160006452351809,"Mateusz Klich","h","SetPiece","RightFoot","Leeds","Manchester United",2,4,"2022-02-20 14:00:00",NA,"None","NoGoal","zone3"
83,"MissedShots",75.2849967956543,25.7720010375977,0.0151618365198374,"Rodrigo","h","OpenPlay","LeftFoot","Leeds","Manchester United",2,4,"2022-02-20 14:00:00","Raphinha","Pass","NoGoal","zone3"
9,"SavedShot",86.2049983978272,18.0880002593994,0.0246389023959637,"Paul Pogba","a","OpenPlay","RightFoot","Leeds","Manchester United",2,4,"2022-02-20 14:00:00","Victor Lindel̦f","TakeOn","NoGoal","zone3"
23,"MissedShots",86.5200016021728,25.4320010375977,0.044846560806036,"Paul Pogba","a","OpenPlay","RightFoot","Leeds","Manchester United",2,4,"2022-02-20 14:00:00",NA,"None","NoGoal","zone3"
25,"SavedShot",101.009996795654,34.8839994812011,0.767341077327728,"Cristiano Ronaldo","a","OpenPlay","LeftFoot","Leeds","Manchester United",2,4,"2022-02-20 14:00:00","Paul Pogba","Pass","NoGoal","zone1"
31,"BlockedShot",84.1049983978272,42.5,0.0333151929080486,"Bruno Fernandes","a","OpenPlay","RightFoot","Leeds","Manchester United",2,4,"2022-02-20 14:00:00",NA,"None","NoGoal","zone3"
32,"SavedShot",84.525,37.6720010375976,0.0486795268952847,"Bruno Fernandes","a","OpenPlay","RightFoot","Leeds","Manchester United",2,4,"2022-02-20 14:00:00","Paul Pogba","Pass","NoGoal","zone3"
