"player","xg_Aerial","xg_Cross","xg_None","xg_Pass","xg_Dribble","xg_LooseBall","xg_Chipped","xg_Throughball","xg_LayOff","n_shots_Aerial","n_shots_Cross","n_shots_None","n_shots_Pass","n_shots_Dribble","n_shots_LooseBall","n_shots_Chipped","n_shots_Throughball","n_shots_LayOff","xg_foot","xg_headother","n_shots_foot","n_shots_headother","xa_Aerial","xa_Chipped","xa_Cross","xa_LooseBall","xa_Pass","xa_Dribble","xa_Throughball","xa_LayOff","xa_None","n_assists_Aerial","n_assists_Chipped","n_assists_Cross","n_assists_LooseBall","n_assists_Pass","n_assists_Dribble","n_assists_Throughball","n_assists_LayOff","n_assists_None","xa_foot","xa_headother","n_assists_foot","n_assists_headother","totxg","totxa"
"Lucas Castro",0.319,1.45,0.059,0.381,0.025,0.044,0.119,0,0,3,10,1,11,1,2,2,0,0,1.853,0.543,21,9,0,0.052,0.197,0.615,1.166,0,0.366,0,0,0,1,4,1,19,0,1,0,0,2.28,0.116,24,2,4.792,4.792
"Lucas Deaux",0,0,0,0.294,0,0,0.275,0.312,0,0,0,0,7,0,0,1,1,0,0.882,0,9,0,0.123,0.076,0.964,0.283,0.134,0.133,0,0,0,1,2,2,1,5,3,0,0,0,1.713,0,14,0,1.763,3.427
"Lucas Digne",0,0,0,0.283,0,0.042,0,0,0,0,0,0,1,0,1,0,0,0,0.325,0,2,0,0,0,0.057,0,1.523,0.174,0,0,0,0,0,1,0,4,1,0,0,0,1.697,0.057,5,1,0.65,3.508
"Lucas Hernández",0.009,0,0,0.017,0.079,0,0,0,0,1,0,0,1,1,0,0,0,0,0.105,0,3,0,0.027,0,0,0,0.176,0.044,0,0,0,1,0,0,0,4,1,0,0,0,0.221,0.027,5,1,0.209,0.496
"Lucas Höler",0.065,0.133,0,0.375,0,0.624,0,0,0,2,2,0,3,0,3,0,0,0,0.879,0.317,8,2,0,0,0.02,0,0.139,0,0,0,0,0,0,1,0,4,0,0,0,0,0.159,0,5,0,2.394,0.318
"Lucas Leiva",0,0.061,0.13,1.107,0.197,0.02,0,0,0,0,1,2,9,2,1,0,0,0,1.454,0.061,14,1,0,0.533,0.11,0,0.868,0.036,0.443,0,0,0,6,1,0,23,1,2,0,0,1.88,0.11,32,1,3.029,3.979
"Lucas Lima",0.022,0.049,0.043,0.135,0,0.034,0.116,0,0,2,1,3,5,0,2,2,0,0,0.387,0.013,14,1,0.091,0.1,1.736,0,0.792,0.136,0,0,0,2,1,12,0,9,2,0,0,0,1.717,1.138,16,10,0.799,5.71
"Lucas Moura",0,0,0,1.049,0.04,0.974,0,0,0,0,0,0,5,1,1,0,0,0,2.062,0,7,0,0,0,0,0.048,0.219,0.831,0,0,0,0,0,0,1,3,1,0,0,0,1.098,0,5,0,4.125,2.196
"Lucas Ocampos",0.448,2.674,0.994,1.465,0.664,1.456,0.13,0.99,0.179,2,13,3,17,4,6,3,2,2,5.112,3.888,42,10,1.166,0,0.165,0.025,1.31,0.131,0,0.063,0,4,0,1,1,13,1,0,1,0,2.087,0.773,17,4,18.001,5.721
"Lucas Pérez",0.098,1.25,0.443,2.508,0.572,0.319,0.404,0.44,0,1,6,7,15,4,3,5,2,0,4.859,1.175,38,5,0,0.437,0.72,0.013,2.367,0.109,0.477,0,0,0,3,4,1,28,1,2,0,0,3.927,0.196,37,2,12.067,8.247
"Lucas Torreira",0.01,0,0.179,0.621,0.095,0.057,0,0,0,1,0,5,11,1,3,0,0,0,0.962,0,21,0,0,0.28,0.115,0,0.332,0.076,0.117,0,0,0,3,1,0,8,1,1,0,0,0.804,0.115,13,1,1.925,1.838
"Lucas Tousart",0,0,0.124,0.063,0.015,0.01,0,0,0,0,0,3,1,1,1,0,0,0,0.212,0,6,0,0,0,0,0.038,0.446,0.048,0,0,0,0,0,0,1,10,2,0,0,0,0.532,0,13,0,0.424,1.064
